Local de trabalho,Nível mais alto de educação,Cargo/Posição,Tipo de empresa,Tamanho da empresa,Indústria,Anos de experiência,Faixa Salarial (Mensal e Líquido),Sexo
Maputo Cidade,Licenciatura,Engenheiro de Software,Privada,Média,IT,0 - 1 anos,21.000 - 50.000MT,Masculino
Maputo Cidade,Licenciatura,Product manager,Privada,Grande/Corporação,Comunicação,2 - 3 anos,21.000 - 50.000MT,Masculino
Maputo Cidade,Licenciatura,Administrador de Base de Dados,Privada,Grande/Corporação,IT,Mais de 10 anos,151.000 - 200.000MT,Masculino
Maputo província,Licenciatura,Back-End Developer,Privada,Pequena/Startup,Educação,0 - 1 anos,51.000 - 80.000MT,Masculino
Sofala,Ensino médio (12a Classe),Help Desk Technician,Privada,Média,IT,0 - 1 anos,21.000 - 50.000MT,Masculino
Maputo Cidade,Ensino médio (12a Classe),Programador,Privada,Média,Consultoria,Mais de 10 anos,81.000 - 100.000MT,Masculino
Maputo Cidade,Licenciatura,Data Scientist,Privada,Média,IT,2 - 3 anos,21.000 - 50.000MT,Feminino
Maputo Cidade,Licenciatura,Administrador de redes,ONG,Média,ONG,2 - 3 anos,51.000 - 80.000MT,Masculino
Maputo Cidade,Licenciatura,Engenheiro de Software,Privada,Pequena/Startup,IT,2 - 3 anos,6.000 - 10.000MT,Masculino
Maputo Cidade,Licenciatura,Data Scientist,ONG,Grande/Corporação,Saúde,6 - 10 anos,110.000 - 150.000MT,Masculino
Maputo província,Licenciatura,Data Scientist,Privada,Média,IT,0 - 1 anos,21.000 - 50.000MT,Masculino
Maputo Cidade,Licenciatura,Data Scientist,Privada,Grande/Corporação,Banca,0 - 1 anos,21.000 - 50.000MT,Masculino
Maputo Cidade,Licenciatura,Scrum Master,Privada,Grande/Corporação,Comunicação,Mais de 10 anos,151.000 - 200.000MT,Feminino
Maputo Cidade,Licenciatura,Programador,Privada,Média,IT,2 - 3 anos,11.000 - 20.000MT,Masculino
Maputo província,Licenciatura,Engenheiro de Software,Privada,Média,Educação,0 - 1 anos,21.000 - 50.000MT,Masculino
Maputo Cidade,Licenciatura,Programador,Privada,Grande/Corporação,Banca,6 - 10 anos,51.000 - 80.000MT,Masculino
Maputo Cidade,Licenciatura,Back-End Developer,Privada,Grande/Corporação,Banca,2 - 3 anos,51.000 - 80.000MT,Masculino
Maputo Cidade,Licenciatura,Full Stack Developer,Privada,Grande/Corporação,Banca,4 - 5 anos,21.000 - 50.000MT,Masculino
Sofala,Licenciatura,Help Desk Technician,Privada,Grande/Corporação,Educação,0 - 1 anos,21.000 - 50.000MT,Masculino
Maputo Cidade,Licenciatura,Back-End Developer,Privada,Grande/Corporação,Banca,6 - 10 anos,110.000 - 150.000MT,Masculino
Maputo Cidade,Licenciatura,Tech lead,Privada,Grande/Corporação,Comunicação,6 - 10 anos,51.000 - 80.000MT,Masculino
Maputo Cidade,Licenciatura,Gestor de projectos,Privada,Média,Banca,4 - 5 anos,110.000 - 150.000MT,Masculino
Maputo Cidade,Licenciatura,Administrador de Sistemas,Privada,Grande/Corporação,IT,2 - 3 anos,21.000 - 50.000MT,Masculino
Maputo Cidade,Ensino Médio (Técnico),Administrador de redes,Privada,Pequena/Startup,Segurança Electronica,4 - 5 anos,11.000 - 20.000MT,Masculino
Maputo Cidade,Licenciatura,CVM (Customer Value Management Management) Technical,Privada,Grande/Corporação,Telecomunicações,0 - 1 anos,11.000 - 20.000MT,Feminino
Maputo província,Licenciatura,Front-End Developer,Privada,Grande/Corporação,IT,4 - 5 anos,Mais de 300.000MT,Masculino
Maputo Cidade,Licenciatura,Business Intelligence Developer,Privada,Média,Banca,0 - 1 anos,21.000 - 50.000MT,Masculino
Maputo Cidade,Mestrado,Gestor de projectos,Privada,Pequena/Startup,IT,4 - 5 anos,21.000 - 50.000MT,Masculino
Maputo Cidade,Ensino médio (12a Classe),Técnico de Informática,Pública,Grande/Corporação,Comunicação,4 - 5 anos,21.000 - 50.000MT,Masculino
Maputo Cidade,Ensino Médio (Técnico),Administrador de redes,Privada,Média,IT,2 - 3 anos,11.000 - 20.000MT,Masculino
Maputo Cidade,Ensino Médio (Técnico),Gestor Técnico,Privada,Média,IT,4 - 5 anos,11.000 - 20.000MT,Masculino
Maputo província,Ensino médio (12a Classe),Mobile Developer,Privada,Grande/Corporação,Banca,Mais de 10 anos,81.000 - 100.000MT,Masculino
Maputo Cidade,Licenciatura,Programador,Pública,Média,Saúde,2 - 3 anos,21.000 - 50.000MT,Masculino
Maputo província,Ensino Médio (Técnico),Help Desk Technician,Pública,Média,Sector Público,6 - 10 anos,11.000 - 20.000MT,Masculino
Maputo Cidade,Licenciatura,Full Stack Developer,Privada,Média,Agencia,2 - 3 anos,21.000 - 50.000MT,Masculino
Maputo Cidade,Licenciatura,Back-End Developer,Privada,Grande/Corporação,IT,6 - 10 anos,51.000 - 80.000MT,Masculino
Maputo Cidade,Licenciatura,Front-End Developer,Privada,Média,IT,0 - 1 anos,6.000 - 10.000MT,Masculino
Maputo província,Licenciatura,Front-End Developer,Privada,Média,IT,2 - 3 anos,21.000 - 50.000MT,Masculino
Maputo Cidade,Licenciatura,Tech lead,Privada,Grande/Corporação,Comunicação,6 - 10 anos,110.000 - 150.000MT,Masculino
Maputo Cidade,Licenciatura,Programador,Privada,Média,Banca,2 - 3 anos,21.000 - 50.000MT,Masculino
Maputo Cidade,Ensino Médio (Técnico),Back-End Developer,Privada,Média,IT,2 - 3 anos,6.000 - 10.000MT,Masculino
Maputo Cidade,Licenciatura,Full Stack Developer,Pública,Grande/Corporação,Educação,0 - 1 anos,21.000 - 50.000MT,Masculino
Maputo Cidade,Ensino médio (12a Classe),Programador,Privada,Média,Banca,Mais de 10 anos,151.000 - 200.000MT,Masculino
Sofala,Licenciatura,Gestor de projectos,Privada,Pequena/Startup,IT,4 - 5 anos,0 - 5.000MT,Masculino
Maputo Cidade,Licenciatura,Administrador de Sistemas,Pública,Grande/Corporação,Comunicação,Mais de 10 anos,81.000 - 100.000MT,Masculino
Maputo Cidade,Licenciatura,Programador,Privada,Grande/Corporação,Hotelaria,4 - 5 anos,21.000 - 50.000MT,Masculino
Maputo Cidade,Mestrado,Business Intelligence Developer,Privada,Grande/Corporação,Comunicação,2 - 3 anos,51.000 - 80.000MT,Masculino
Maputo Cidade,Ensino médio (12a Classe),Front-End Developer,Privada,Pequena/Startup,IT,4 - 5 anos,110.000 - 150.000MT,Masculino
Maputo Cidade,Licenciatura,Help Desk Technician,Privada,Grande/Corporação,Recursos minerais,0 - 1 anos,11.000 - 20.000MT,Feminino
Sofala,Licenciatura,Programador,Privada,Média,IT,0 - 1 anos,21.000 - 50.000MT,Masculino
Maputo Cidade,Licenciatura,Administrador de Sistemas,Privada,Média,HR,6 - 10 anos,21.000 - 50.000MT,Masculino
